Non-overlapping 14-day period,Region,Number_received_three_vaccines,Population
01/03/2022 -> 31/03/2022,London,8370,11300
01/03/2022 -> 31/03/2022,North East,284995,360090
01/03/2022 -> 31/03/2022,North West,468245,575615
01/03/2022 -> 31/03/2022,South East,1126130,1356365
01/03/2022 -> 31/03/2022,South West,1063295,1277575
01/03/2022 -> 31/03/2022,East Midlands,1694325,2317125
01/03/2022 -> 31/03/2022,East of England,2116415,2860820
01/03/2022 -> 31/03/2022,London,3007420,4789350
01/03/2022 -> 31/03/2022,North East,1092765,1485000
01/03/2022 -> 31/03/2022,North West,2952135,4276570
01/03/2022 -> 31/03/2022,South East,3669750,4758865
01/03/2022 -> 31/03/2022,South West,2034500,2605990
01/03/2022 -> 31/03/2022,East Midlands,1319865,1689470
01/03/2022 -> 31/03/2022,East of England,1701965,2167565
01/03/2022 -> 31/03/2022,London,1605630,2515935
01/03/2022 -> 31/03/2022,North East,744475,964325
01/03/2022 -> 31/03/2022,North West,1829285,2524700
01/03/2022 -> 31/03/2022,South East,2564545,3189050
01/03/2022 -> 31/03/2022,South West,1663480,2031330
01/03/2022 -> 31/03/2022,East Midlands,1152165,1570380
01/03/2022 -> 31/03/2022,East of England,1489185,2001200
01/03/2022 -> 31/03/2022,London,1410160,2284705
01/03/2022 -> 31/03/2022,North East,633290,880750
01/03/2022 -> 31/03/2022,North West,1591095,2327490
01/03/2022 -> 31/03/2022,South East,2231330,2926165
01/03/2022 -> 31/03/2022,South West,1434315,1852220
01/03/2022 -> 31/03/2022,East Midlands,14820,22390
01/03/2022 -> 31/03/2022,East of England,21235,31560
01/03/2022 -> 31/03/2022,London,50590,77840
01/03/2022 -> 31/03/2022,North East,6630,10890
01/03/2022 -> 31/03/2022,North West,21190,35240
01/03/2022 -> 31/03/2022,South East,36675,52815
01/03/2022 -> 31/03/2022,South West,24575,34310
01/03/2022 -> 31/03/2022,East Midlands,33865,46015
01/03/2022 -> 31/03/2022,East of England,47890,64235
01/03/2022 -> 31/03/2022,London,58755,98800
01/03/2022 -> 31/03/2022,North East,14660,19555
01/03/2022 -> 31/03/2022,North West,39975,59640
01/03/2022 -> 31/03/2022,South East,86845,114395
01/03/2022 -> 31/03/2022,South West,51095,65710
01/03/2022 -> 31/03/2022,East Midlands,1912255,2339355
01/03/2022 -> 31/03/2022,East of England,2419490,2941755
01/03/2022 -> 31/03/2022,London,1909650,2578330
01/03/2022 -> 31/03/2022,North East,1022100,1267575
01/03/2022 -> 31/03/2022,North West,2638365,3436080
01/03/2022 -> 31/03/2022,South East,3621850,4320450
01/03/2022 -> 31/03/2022,South West,2339090,2752175
01/03/2022 -> 31/03/2022,East Midlands,267830,436655
01/03/2022 -> 31/03/2022,East of England,359460,567630
01/03/2022 -> 31/03/2022,London,504755,970155
01/03/2022 -> 31/03/2022,North East,127435,213870
01/03/2022 -> 31/03/2022,North West,351905,631115
01/03/2022 -> 31/03/2022,South East,592610,895455
01/03/2022 -> 31/03/2022,South West,399660,586900
01/03/2022 -> 31/03/2022,East Midlands,243275,415435
01/03/2022 -> 31/03/2022,East of England,343095,563580
01/03/2022 -> 31/03/2022,London,492035,1075535
01/03/2022 -> 31/03/2022,North East,206920,333205
01/03/2022 -> 31/03/2022,North West,368960,690095
01/03/2022 -> 31/03/2022,South East,457905,732100
01/03/2022 -> 31/03/2022,South West,283365,444450
01/03/2022 -> 31/03/2022,East Midlands,264015,563370
01/03/2022 -> 31/03/2022,East Midlands,261240,457670
01/03/2022 -> 31/03/2022,East Midlands,353470,482135
01/03/2022 -> 31/03/2022,East Midlands,512925,602070
01/03/2022 -> 31/03/2022,East Midlands,460945,505250
01/03/2022 -> 31/03/2022,East Midlands,399925,419580
01/03/2022 -> 31/03/2022,East Midlands,219520,229770
01/03/2022 -> 31/03/2022,East of England,326745,678220
01/03/2022 -> 31/03/2022,East of England,343615,589255
01/03/2022 -> 31/03/2022,East of England,481380,655735
01/03/2022 -> 31/03/2022,East of England,651465,762525
01/03/2022 -> 31/03/2022,East of England,576065,631920
01/03/2022 -> 31/03/2022,East of England,510580,535855
01/03/2022 -> 31/03/2022,East of England,301310,315265
01/03/2022 -> 31/03/2022,London,377105,935565
01/03/2022 -> 31/03/2022,London,424450,860230
01/03/2022 -> 31/03/2022,London,532280,896740
01/03/2022 -> 31/03/2022,London,610695,844410
01/03/2022 -> 31/03/2022,London,496180,611015
01/03/2022 -> 31/03/2022,London,357470,404745
01/03/2022 -> 31/03/2022,London,217615,247960
01/03/2022 -> 31/03/2022,North East,137635,314335
01/03/2022 -> 31/03/2022,North East,144895,265780
01/03/2022 -> 31/03/2022,North East,186385,261525
01/03/2022 -> 31/03/2022,North East,281385,333640
01/03/2022 -> 31/03/2022,North East,278680,304615
01/03/2022 -> 31/03/2022,North East,224490,235090
01/03/2022 -> 31/03/2022,North East,124290,130110
01/03/2022 -> 31/03/2022,North West,334585,852460
01/03/2022 -> 31/03/2022,North West,361560,729110
01/03/2022 -> 31/03/2022,North West,482665,722015
01/03/2022 -> 31/03/2022,North West,715960,884195
01/03/2022 -> 31/03/2022,North West,662760,746630
01/03/2022 -> 31/03/2022,North West,553600,589515
01/03/2022 -> 31/03/2022,North West,309260,328255
01/03/2022 -> 31/03/2022,South East,520875,1007535
01/03/2022 -> 31/03/2022,South East,522850,842775
01/03/2022 -> 31/03/2022,South East,744045,971795
01/03/2022 -> 31/03/2022,South East,980720,1131430
01/03/2022 -> 31/03/2022,South East,848580,926425
01/03/2022 -> 31/03/2022,South East,734445,770675
01/03/2022 -> 31/03/2022,South East,444365,464585
01/03/2022 -> 31/03/2022,South West,339005,640160
01/03/2022 -> 31/03/2022,South West,324085,510410
01/03/2022 -> 31/03/2022,South West,422015,545090
01/03/2022 -> 31/03/2022,South West,606635,695855
01/03/2022 -> 31/03/2022,South West,573745,623140
01/03/2022 -> 31/03/2022,South West,522230,546380
01/03/2022 -> 31/03/2022,South West,310085,322530
01/04/2022 -> 30/04/2022,East Midlands,2487385,3259860
01/04/2022 -> 30/04/2022,East of England,3210480,4169150
01/04/2022 -> 30/04/2022,London,3040465,4803120
01/04/2022 -> 30/04/2022,North East,1388855,1844985
01/04/2022 -> 30/04/2022,North West,3451140,4852195
01/04/2022 -> 30/04/2022,South East,4822515,6116130
01/04/2022 -> 30/04/2022,South West,3112075,3882945
01/04/2022 -> 30/04/2022,East Midlands,195570,314000
01/04/2022 -> 30/04/2022,East of England,292400,453745
01/04/2022 -> 30/04/2022,London,1035910,1780095
01/04/2022 -> 30/04/2022,North East,52060,81775
01/04/2022 -> 30/04/2022,North West,221080,380520
01/04/2022 -> 30/04/2022,South East,511620,736005
01/04/2022 -> 30/04/2022,South West,192240,277965
01/04/2022 -> 30/04/2022,East Midlands,2291800,2945855
01/04/2022 -> 30/04/2022,East of England,2918070,3715410
01/04/2022 -> 30/04/2022,London,2004570,3023030
01/04/2022 -> 30/04/2022,North East,1336795,1763215
01/04/2022 -> 30/04/2022,North West,3230055,4471660
01/04/2022 -> 30/04/2022,South East,4310895,5380135
01/04/2022 -> 30/04/2022,South West,2919830,3604975
01/04/2022 -> 30/04/2022,East Midlands,243380,285155
01/04/2022 -> 30/04/2022,East of England,283420,332040
01/04/2022 -> 30/04/2022,London,245270,340840
01/04/2022 -> 30/04/2022,North East,150750,176790
01/04/2022 -> 30/04/2022,North West,345720,427910
01/04/2022 -> 30/04/2022,South East,393390,457820
01/04/2022 -> 30/04/2022,South West,288695,332000
01/04/2022 -> 30/04/2022,East Midlands,144110,174280
01/04/2022 -> 30/04/2022,East of England,149330,181765
01/04/2022 -> 30/04/2022,London,163950,239275
01/04/2022 -> 30/04/2022,North East,111610,134200
01/04/2022 -> 30/04/2022,North West,254200,324625
01/04/2022 -> 30/04/2022,South East,196975,239530
01/04/2022 -> 30/04/2022,South West,153030,183125
01/04/2022 -> 30/04/2022,East Midlands,2099880,2800415
01/04/2022 -> 30/04/2022,East of England,2777720,3655340
01/04/2022 -> 30/04/2022,London,2631265,4222995
01/04/2022 -> 30/04/2022,North East,1126495,1533985
01/04/2022 -> 30/04/2022,North West,2851215,4099665
01/04/2022 -> 30/04/2022,South East,4232145,5418790
01/04/2022 -> 30/04/2022,South West,2670350,3367815
01/04/2022 -> 30/04/2022,East Midlands,95010,109795
01/04/2022 -> 30/04/2022,East of England,111380,129040
01/04/2022 -> 30/04/2022,London,45745,62120
01/04/2022 -> 30/04/2022,North East,60805,71795
01/04/2022 -> 30/04/2022,North West,127640,155270
01/04/2022 -> 30/04/2022,South East,158730,182225
01/04/2022 -> 30/04/2022,South West,120050,136590
01/04/2022 -> 30/04/2022,East Midlands,314800,401785
01/04/2022 -> 30/04/2022,East of England,424825,539185
01/04/2022 -> 30/04/2022,London,272435,425210
01/04/2022 -> 30/04/2022,North East,173685,227525
01/04/2022 -> 30/04/2022,North West,419100,578565
01/04/2022 -> 30/04/2022,South East,579520,720755
01/04/2022 -> 30/04/2022,South West,380550,466750
01/04/2022 -> 30/04/2022,East Midlands,337725,425190
01/04/2022 -> 30/04/2022,East of England,448420,561175
01/04/2022 -> 30/04/2022,London,280570,436485
01/04/2022 -> 30/04/2022,North East,194005,249300
01/04/2022 -> 30/04/2022,North West,467320,635525
01/04/2022 -> 30/04/2022,South East,641880,784915
01/04/2022 -> 30/04/2022,South West,434555,524950
01/04/2022 -> 30/04/2022,East Midlands,290380,361905
01/04/2022 -> 30/04/2022,East of England,362790,452715
01/04/2022 -> 30/04/2022,London,307870,467195
01/04/2022 -> 30/04/2022,North East,164540,209935
01/04/2022 -> 30/04/2022,North West,411295,553570
01/04/2022 -> 30/04/2022,South East,560225,684145
01/04/2022 -> 30/04/2022,South West,374200,452120
01/04/2022 -> 30/04/2022,East Midlands,630565,717545
01/04/2022 -> 30/04/2022,East of England,876955,1007260
01/04/2022 -> 30/04/2022,London,1110985,1499995
01/04/2022 -> 30/04/2022,North East,333785,380070
01/04/2022 -> 30/04/2022,North West,935290,1100790
01/04/2022 -> 30/04/2022,South East,1523615,1729440
01/04/2022 -> 30/04/2022,South West,906305,1011335
01/04/2022 -> 30/04/2022,East Midlands,447435,541975
01/04/2022 -> 30/04/2022,East of England,523480,625170
01/04/2022 -> 30/04/2022,London,417300,604805
01/04/2022 -> 30/04/2022,North East,272365,332390
01/04/2022 -> 30/04/2022,North West,620265,802750
01/04/2022 -> 30/04/2022,South East,641360,760460
01/04/2022 -> 30/04/2022,South West,446595,518560
01/04/2022 -> 30/04/2022,East Midlands,100565,138410
01/04/2022 -> 30/04/2022,East of England,127720,176280
01/04/2022 -> 30/04/2022,London,220845,372875
01/04/2022 -> 30/04/2022,North East,47620,59815
01/04/2022 -> 30/04/2022,North West,123270,173805
01/04/2022 -> 30/04/2022,South East,184470,246115
01/04/2022 -> 30/04/2022,South West,103990,132730
01/04/2022 -> 30/04/2022,East Midlands,4520,9115
01/04/2022 -> 30/04/2022,East of England,11615,23410
01/04/2022 -> 30/04/2022,London,67305,147895
01/04/2022 -> 30/04/2022,North East,3525,7270
01/04/2022 -> 30/04/2022,North West,11750,28055
01/04/2022 -> 30/04/2022,South East,11430,18915
01/04/2022 -> 30/04/2022,South West,3450,5475
01/04/2022 -> 30/04/2022,East Midlands,11520,28675
01/04/2022 -> 30/04/2022,East of England,22365,46690
01/04/2022 -> 30/04/2022,London,118810,319925
01/04/2022 -> 30/04/2022,North East,2615,5780
01/04/2022 -> 30/04/2022,North West,14575,36225
01/04/2022 -> 30/04/2022,South East,28660,58635
01/04/2022 -> 30/04/2022,South West,6750,14285
01/04/2022 -> 30/04/2022,East Midlands,10145,21100
01/04/2022 -> 30/04/2022,East of England,12670,26090
01/04/2022 -> 30/04/2022,London,77035,217210
01/04/2022 -> 30/04/2022,North East,515,825
01/04/2022 -> 30/04/2022,North West,6925,14925
01/04/2022 -> 30/04/2022,South East,13965,26105
01/04/2022 -> 30/04/2022,South West,5635,10560
01/04/2022 -> 30/04/2022,East Midlands,7670,11120
01/04/2022 -> 30/04/2022,East of England,14785,19465
01/04/2022 -> 30/04/2022,London,50555,69860
01/04/2022 -> 30/04/2022,North East,4420,6405
01/04/2022 -> 30/04/2022,North West,18075,24010
01/04/2022 -> 30/04/2022,South East,23375,30205
01/04/2022 -> 30/04/2022,South West,8575,11050
01/04/2022 -> 30/04/2022,East Midlands,91895,127110
01/04/2022 -> 30/04/2022,East of England,54530,68650
01/04/2022 -> 30/04/2022,London,272010,364915
01/04/2022 -> 30/04/2022,North East,7440,10070
01/04/2022 -> 30/04/2022,North West,44430,74255
01/04/2022 -> 30/04/2022,South East,92665,117570
01/04/2022 -> 30/04/2022,South West,17905,23370
01/04/2022 -> 30/04/2022,East Midlands,21580,46090
01/04/2022 -> 30/04/2022,East of England,34495,64775
01/04/2022 -> 30/04/2022,London,90655,196015
01/04/2022 -> 30/04/2022,North East,7645,13185
01/04/2022 -> 30/04/2022,North West,29430,63710
01/04/2022 -> 30/04/2022,South East,56075,95675
01/04/2022 -> 30/04/2022,South West,25235,43450
01/04/2022 -> 30/04/2022,East Midlands,24325,43205
01/04/2022 -> 30/04/2022,East of England,42295,65440
